"run
number",start_run,end_run,"kin
study","beam_on_target
[sec]","evts
replayed","beam
energy
[GeV]",target,"target
mass
[amu]","HMS_P
[GeV/c]","HMS_Angle
[deg]","SHMS_P
[GeV/c]","SHMS_Angle
[deg]","BCM4A
thrs
[uA]","BCM4A
current
[uA]","BCM4A
charge
[mC]","integrated
luminosity
[fb^-1]",lumiNorm_counts[fb],PS1,PS2,PS3,PS5,PS6,"T1
scaler_rates
[kHz]","T2
scaler_rates
[kHz]","T3
scaler_rates
[kHz]","T5
scaler_rates
[kHz]","T6
scaler_rates
[kHz]","T1
accp_rates
[kHz]","T2
accp_rates
[kHz]","T3
accp_rates
[kHz]","T5
accp_rates
[kHz]","T6
accp_rates
[kHz]",T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,"HMS
TrkEff","SHMS
TrkEff","heep_singles
counts","heep_singles
rates [Hz]","heep_coin
counts","heep_coin
rates [Hz]","MF_real
counts","MF_real
rates [Hz]","SRC_real
counts","SRC_real
rates [Hz]",simc_counts_goal,"simc_charge_goal
[mC]","simc_integrated
luminosity
[fb^-1]",simc_lumiNorm_counts[fb],Comments
20785,            2023-02-22 03:23:07,           2023-02-22 04:02:52,           MF,         1437.080,          788064,       10.5494,     C12,        12.010700,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        26.430,         37.981,          6.228,                  3786.8420 ,513,257,17,1,-1,59.162,47.070,2.554,0.087,0.098,0.395,0.370,0.233,0.088,0.087,471.850,236.385,15.636,0.920,nan,0.992,0.995,nan,nan,nan,nan,23584.40,16.411,nan,nan,60000.000,72.000,11.8062,5082.0859,C12_with_20uA
20786,            2023-02-22 04:06:56,           2023-02-22 05:10:43,           MF,         1694.047,          680243,       10.5494,     C12,        12.010700,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        18.978,         32.149,          5.272,                  3830.5990 ,513,257,17,1,-1,41.978,33.578,1.831,0.061,0.068,0.278,0.262,0.166,0.062,0.061,468.253,234.583,15.517,0.913,nan,0.992,0.996,nan,nan,nan,nan,20193.60,11.920,nan,nan,60000.000,72.000,11.8062,5082.0859,C12_at_20uA
20787,            2023-02-22 05:34:59,           2023-02-22 06:08:21,           MF,         906.870,          646129,       10.5494,     C12,        12.010700,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        33.945,         30.784,          5.048,                  3678.6850 ,513,257,17,1,-1,76.950,60.885,3.283,0.115,0.132,0.518,0.485,0.303,0.116,0.115,471.640,236.280,15.629,0.919,nan,0.991,0.993,nan,nan,nan,nan,18569.00,20.476,nan,nan,60000.000,72.000,11.8062,5082.0859,C12_at_40uA
20788,            2023-02-22 10:17:44,           2023-02-22 10:30:50,           MF,         734.061,          596398,       10.5494,     C12,        12.010700,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        39.266,         28.824,          4.726,                  3759.5200 ,513,257,17,1,-1,89.572,70.840,3.810,0.134,0.154,0.606,0.568,0.354,0.135,0.134,473.452,237.188,15.689,0.923,nan,0.991,0.992,nan,nan,nan,nan,17769.00,24.206,nan,nan,60000.000,72.000,11.8062,5082.0859,_A_B
20789,            2023-02-22 10:38:25,           2023-02-22 10:56:03,           MF,         299.796,          239113,       10.5494,     Au197,        196.966570,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        37.791,         11.330,          0.088,                  13087.8940 ,513,257,17,1,-1,58.689,42.265,7.567,0.043,0.059,0.350,0.311,0.488,0.043,0.042,471.452,236.185,15.623,0.919,nan,0.991,0.994,nan,nan,nan,nan,1145.20,3.820,nan,nan,40000.000,144.000,1.1121,35966.9759,
20790,            2023-02-22 12:56:11,           2023-02-22 13:05:18,           MF,         398.303,          258275,       10.5494,     C12,        12.010700,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        30.700,         12.228,          2.005,                  3755.3010 ,513,257,17,1,-1,69.602,55.237,2.974,0.116,0.118,0.479,0.449,0.285,0.116,0.109,504.990,252.987,16.735,0.984,nan,0.993,0.992,nan,nan,nan,nan,7529.60,18.904,nan,nan,60000.000,72.000,11.8062,5082.0859,
20792,            2023-02-22 13:12:13,           2023-02-22 13:20:56,           MF,         523.239,          438116,       10.5494,     C12,        12.010700,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        40.305,         21.089,          3.458,                  4.2800 ,513,257,17,1,-1,92.121,70.071,3.912,0.156,0.160,0.627,0.582,0.379,0.156,0.142,501.488,251.233,16.619,0.978,nan,0.992,0.991,nan,nan,nan,nan,14.80,0.028,nan,nan,60000.000,72.000,11.8062,5082.0859,
20793,            2023-02-22 13:29:39,           2023-02-22 14:37:48,           MF,         2129.228,          1693291,       10.5494,     Au197,        196.966570,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        37.552,         79.956,          0.618,                  12346.0190 ,513,257,17,1,-1,58.351,42.061,7.525,0.059,0.058,0.363,0.325,0.501,0.059,0.048,504.321,252.652,16.712,0.983,nan,0.992,0.992,nan,nan,nan,nan,7623.80,3.581,nan,nan,40000.000,144.000,1.1121,35966.9759,
20797,            2023-02-22 18:00:15,           2023-02-22 18:31:13,           MF,         1739.943,          1411648,       10.5494,     Au197,        196.966570,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        38.469,         66.933,          0.517,                  12678.9890 ,513,257,17,1,-1,60.035,43.240,7.728,0.061,0.060,0.375,0.336,0.516,0.062,0.050,506.522,253.755,16.785,0.987,nan,0.993,0.993,nan,nan,nan,nan,6554.20,3.767,nan,nan,40000.000,144.000,1.1121,35966.9759,
20798,            2023-02-22 18:41:56,           2023-02-22 19:32:41,           MF,         2544.990,          1726819,       10.5494,     Au197,        196.966570,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        32.406,         82.472,          0.637,                  12527.3210 ,513,257,17,1,-1,49.681,36.122,6.504,0.048,0.047,0.305,0.274,0.429,0.048,0.039,504.486,252.735,16.718,0.983,nan,0.993,0.993,nan,nan,nan,nan,7979.20,3.135,nan,nan,40000.000,144.000,1.1121,35966.9759,
