"run
number",start_run,end_run,"kin
study","beam_on_target
[sec]","evts
replayed","beam
energy
[GeV]",target,"target
mass
[amu]","HMS_P
[GeV/c]","HMS_Angle
[deg]","SHMS_P
[GeV/c]","SHMS_Angle
[deg]","BCM4A
thrs
[uA]","BCM4A
current
[uA]","BCM4A
charge
[mC]",PS1,PS2,PS3,PS5,PS6,"T1
scaler_rates
[kHz]","T2
scaler_rates
[kHz]","T3
scaler_rates
[kHz]","T5
scaler_rates
[kHz]","T6
scaler_rates
[kHz]","T1
accp_rates
[kHz]","T2
accp_rates
[kHz]","T3
accp_rates
[kHz]","T5
accp_rates
[kHz]","T6
accp_rates
[kHz]",T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,"HMS
TrkEff","SHMS
TrkEff","heep_singles
counts","heep_singles
rates [Hz]","heep_coin
counts","heep_coin
rates [Hz]","MF_real
counts","MF_real
rates [Hz]","SRC_real
counts","SRC_real
rates [Hz]",Comments
3297,2018-04-06 01:52:48,2018-04-06 02:52:29,           SRC,2775.500,17176,10.6000,LD2,2.014102,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3298,2018-04-06 02:53:37,2018-04-06 03:53:20,           SRC,3091.117,17457,10.6000,LD2,2.014102,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment

3300,2018-04-06 04:00:00,2018-04-06 04:30:53,           MF,2766.090,309060,10.6000,Be9,9.012182,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,98375.60,37.842,nan,nan,good_MF
3301,2018-04-06 04:53:30,2018-04-06 05:22:53,           MF,2766.090,309060,10.6000,B10,10.0129370,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,95375.60,32.842,nan,nan,good_MF
3302,2018-04-06 05:36:40,2018-04-06 06:02:53,           MF,2766.090,309060,10.6000,B11,11.009306,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,94375.60,39.842,nan,nan,good_MF
3303,2018-04-06 06:10:35,2018-04-06 06:44:53,           MF,2766.090,309060,10.6000,C12,12.0107,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,99375.60,32.842,nan,nan,good_MF
3304,2018-04-06 06:58:00,2018-04-06 07:30:53,           MF,2766.090,309060,10.6000,Ca40,39.962590863,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,95375.60,31.842,nan,nan,good_MF
3305,2018-04-06 07:33:00,2018-04-06 08:15:53,           MF,2766.090,309060,10.6000,Ca48,47.95252276,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,93375.60,33.842,nan,nan,good_MF
3306,2018-04-06 08:20:00,2018-04-06 08:51:53,           MF,2766.090,309060,10.6000,Ti48,47.9479463,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,91375.60,33.842,nan,nan,good_MF
3307,2018-04-06 09:01:00,2018-04-06 09:43:53,           MF,2766.090,309060,10.6000,Fe54,53.9396147,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,92375.60,32.842,nan,nan,good_MF

3308,2018-04-06 10:33:58,2018-04-06 11:20:40,           SRC,3528.311,22103,10.6000,Be9,9.012182,2.1940,-54.990,8.5342,12.194,>5.00,49.911,176.102,-1,-1,-1,-1,1,135.910,51.269,33.472,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.935,0.957,0.962,nan,nan,nan,nan,nan,nan,64.00,0.018,
3309,2018-04-06 11:25:21,2018-04-06 12:00:07,           SRC,2668.621,18833,10.6000,Be9,9.012182,2.1940,-54.990,8.5342,12.194,>5.00,54.612,145.738,-1,-1,-1,-1,1,156.665,56.355,36.577,-0.003,0.003,0.003,0.002,0.001,0.000,0.003,nan,nan,nan,nan,0.922,0.944,0.955,nan,nan,nan,nan,nan,nan,44.00,0.016,good
3310,2018-04-06 12:03:48,2018-04-06 12:32:29,           SRC,2775.500,17176,10.6000,Be9,9.012182,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3311,2018-04-06 12:53:37,2018-04-06 13:29:20,           SRC,3091.117,17457,10.6000,Be9,9.012182,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment

3312,2018-04-06 13:33:58,2018-04-06 14:20:40,           SRC,3528.311,22103,10.6000,Be9,9.012182,2.1940,-54.990,8.5342,12.194,>5.00,49.911,176.102,-1,-1,-1,-1,1,135.910,51.269,33.472,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.935,0.957,0.962,nan,nan,nan,nan,nan,nan,64.00,0.018,
3313,2018-04-06 14:25:21,2018-04-06 15:00:07,           SRC,2668.621,18833,10.6000,Be9,9.012182,2.1940,-54.990,8.5342,12.194,>5.00,54.612,145.738,-1,-1,-1,-1,1,156.665,56.355,36.577,-0.003,0.003,0.003,0.002,0.001,0.000,0.003,nan,nan,nan,nan,0.922,0.944,0.955,nan,nan,nan,nan,nan,nan,44.00,0.016,good
3314,2018-04-06 15:03:48,2018-04-06 15:42:29,           SRC,2775.500,17176,10.6000,Be9,9.012182,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3315,2018-04-06 15:53:37,2018-04-06 16:29:20,           SRC,3091.117,17457,10.6000,Be9,9.012182,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment

3316,2018-04-06 13:33:58,2018-04-06 14:20:40,           SRC,3528.311,22103,10.6000,B10,10.0129370,2.1940,-54.990,8.5342,12.194,>5.00,49.911,176.102,-1,-1,-1,-1,1,135.910,51.269,33.472,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.935,0.957,0.962,nan,nan,nan,nan,nan,nan,64.00,0.018,
3317,2018-04-06 14:25:21,2018-04-06 15:00:07,           SRC,2668.621,18833,10.6000,B10,10.0129370,2.1940,-54.990,8.5342,12.194,>5.00,54.612,145.738,-1,-1,-1,-1,1,156.665,56.355,36.577,-0.003,0.003,0.003,0.002,0.001,0.000,0.003,nan,nan,nan,nan,0.922,0.944,0.955,nan,nan,nan,nan,nan,nan,44.00,0.016,good
3318,2018-04-06 15:03:48,2018-04-06 15:42:29,           SRC,2775.500,17176,10.6000,B10,10.0129370,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3319,2018-04-06 15:53:37,2018-04-06 16:29:20,           SRC,3091.117,17457,10.6000,B10,10.0129370,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment
3320,2018-04-06 16:33:37,2018-04-06 16:58:20,           SRC,3091.117,17457,10.6000,B10,10.0129370,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment

3321,2018-04-06 15:03:48,2018-04-06 15:42:29,           SRC,2775.500,17176,10.6000,B11,11.00930,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3322,2018-04-06 15:53:37,2018-04-06 16:29:20,           SRC,3091.117,17457,10.6000,B11,11.00930,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment
3323,2018-04-06 16:33:37,2018-04-06 16:58:20,           SRC,3091.117,17457,10.6000,B11,11.00930,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment

3324,2018-04-06 15:03:48,2018-04-06 15:42:29,           SRC,2775.500,17176,10.6000,C12,12.0107,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3325,2018-04-06 15:53:37,2018-04-06 16:29:20,           SRC,3091.117,17457,10.6000,C12,12.0107,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment
3326,2018-04-06 16:33:37,2018-04-06 16:58:20,           SRC,3091.117,17457,10.6000,C12,12.0107,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment
3327,2018-04-06 17:05:37,2018-04-06 17:58:20,           SRC,3091.117,17457,10.6000,C12,12.0107,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment
3328,2018-04-06 18:02:37,2018-04-06 18:28:20,           SRC,3091.117,17457,10.6000,C12,12.0107,2.1940,-54.990,8.5342,12.194,>5.00,49.033,151.566,-1,-1,-1,-1,1,132.357,50.524,32.977,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.927,0.949,0.972,nan,nan,nan,nan,nan,nan,39.00,0.013,no_comment

3329,2018-04-06 18:35:48,2018-04-06 18:52:29,           SRC,2775.500,17176,10.6000,Ca40,39.962590863,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3330,2018-04-06 18:53:48,2018-04-06 19:22:29,           SRC,2775.500,17176,10.6000,Ca40,39.962590863,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3331,2018-04-06 19:35:48,2018-04-06 19:56:29,           SRC,2775.500,17176,10.6000,Ca40,39.962590863,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3332,2018-04-06 20:05:48,2018-04-06 20:37:29,           SRC,2775.500,17176,10.6000,Ca40,39.962590863,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3333,2018-04-06 20:40:48,2018-04-06 21:02:29,           SRC,2775.500,17176,10.6000,Ca40,39.962590863,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no

3334,2018-04-06 21:13:48,2018-04-06 21:42:29,           SRC,2775.500,17176,10.6000,Ca48,47.95252276,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3335,2018-04-06 21:45:48,2018-04-06 22:06:29,           SRC,2775.500,17176,10.6000,Ca48,47.95252276,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3336,2018-04-06 22:13:48,2018-04-06 22:32:29,           SRC,2775.500,17176,10.6000,Ca48,47.95252276,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3337,2018-04-06 22:38:48,2018-04-06 22:59:29,           SRC,2775.500,17176,10.6000,Ca48,47.95252276,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3338,2018-04-06 23:13:48,2018-04-06 23:42:29,           SRC,2775.500,17176,10.6000,Ca48,47.95252276,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3339,2018-04-06 23:50:48,2018-04-07 00:12:29,           SRC,2775.500,17176,10.6000,Ca48,47.95252276,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no

3340,2018-04-07 00:13:48,2018-04-07 00:32:29,           SRC,2775.500,17176,10.6000,Fe54,53.9396147,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3341,2018-04-07 00:33:48,2018-04-07 00:52:29,           SRC,2775.500,17176,10.6000,Fe54,53.9396147,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3342,2018-04-07 00:53:48,2018-04-07 01:20:29,           SRC,2775.500,17176,10.6000,Fe54,53.9396147,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3343,2018-04-07 01:23:48,2018-04-07 01:52:29,           SRC,2775.500,17176,10.6000,Fe54,53.9396147,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no
3344,2018-04-07 02:02:48,2018-04-07 02:32:29,           SRC,2775.500,17176,10.6000,Fe54,53.9396147,2.1940,-54.990,8.5342,12.194,>5.00,49.254,136.704,-1,-1,-1,-1,1,135.476,50.767,33.051,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.956,0.976,nan,nan,nan,nan,nan,nan,36.00,0.013,no


3376,2018-04-09 22:05:32,2018-04-09 22:06:12,           heep_coin,40.995,35778,10.6000,LH2,1.007940,1.8900,-47.600,8.5342,8.500,>5.00,59.719,2.448,-1,-1,-1,-1,1,635.114,387.886,315.797,-0.003,1.025,0.870,0.846,0.812,0.000,0.870,nan,nan,nan,nan,0.764,0.984,0.934,nan,nan,9923.00,242.056,nan,nan,nan,nan,good_coin_run

