"run
number",start_run,end_run,"kin
study","beam_on_target
[sec]","evts
replayed","beam
energy
[GeV]",target,"target
mass
[amu]","HMS_P
[GeV/c]","HMS_Angle
[deg]","SHMS_P
[GeV/c]","SHMS_Angle
[deg]","BCM4A
thrs
[uA]","BCM4A
current
[uA]","BCM4A
charge
[mC]",PS1,PS2,PS3,PS5,PS6,"T1
scaler_rates
[kHz]","T2
scaler_rates
[kHz]","T3
scaler_rates
[kHz]","T5
scaler_rates
[kHz]","T6
scaler_rates
[kHz]","T1
accp_rates
[kHz]","T2
accp_rates
[kHz]","T3
accp_rates
[kHz]","T5
accp_rates
[kHz]","T6
accp_rates
[kHz]",T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,"HMS
TrkEff","SHMS
TrkEff","heep_singles
counts","heep_singles
rates [Hz]","heep_coin
counts","heep_coin
rates [Hz]","MF_real
counts","MF_real
rates [Hz]","SRC_real
counts","SRC_real
rates [Hz]",Comments
3243,2018-04-03 17:35:01,2018-04-03 18:04:01,           heep_singles,1553.694,2686963,10.6000,LH2,1.007940,2.9381,-37.290,8.5342,12.200,>5.00,40.548,63.000,33,-1,-1,-1,-1,52.651,22.693,15.599,-0.003,0.081,1.587,0.750,0.538,0.000,0.058,23.272,nan,nan,nan,nan,0.971,0.973,59114.00,38.047,nan,nan,nan,nan,nan,nan,good_singles_run
3286,2018-04-05 15:23:36,2018-04-05 15:34:40,           optics,389.189,535833,10.6005,C12_optics,12.010700,2.1943,-54.945,8.5342,8.938,>5.00,50.921,19.818,-1,-1,1,-1,-1,3.538,2.499,1.813,-0.003,0.000,1.372,1.372,1.372,0.000,0.000,nan,nan,0.757,nan,nan,0.900,0.982,nan,nan,nan,nan,nan,nan,nan,nan,optics_run
3288,2018-04-05 15:57:11,2018-04-05 17:04:09,           heep_coin,2886.203,306450,10.6005,LH2,1.007940,2.9355,-37.338,8.5342,12.194,>5.00,52.748,152.241,-1,-1,-1,-1,1,76.856,29.650,20.265,-0.003,0.104,0.102,0.100,0.097,0.000,0.102,nan,nan,nan,nan,0.925,0.980,0.970,nan,nan,124040.60,42.977,nan,nan,nan,nan,golden_elastic_run
3289,2018-04-05 17:23:29,2018-04-05 18:37:53,           MF,2766.090,309060,10.6000,LD2,2.014102,2.8440,-38.896,8.5342,12.194,>5.00,51.536,142.553,-1,-1,-1,-1,1,143.261,52.550,34.354,-0.003,0.109,0.107,0.102,0.098,0.000,0.107,nan,nan,nan,nan,0.910,0.983,0.965,nan,nan,nan,nan,96375.60,34.842,nan,nan,good_MF
3291,2018-04-05 19:27:13,2018-04-05 20:27:45,           SRC,2960.677,18022,10.6000,LD2,2.014102,2.1940,-54.990,8.5342,12.194,>5.00,49.734,147.248,-1,-1,-1,-1,1,138.268,50.798,33.203,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.928,0.946,0.971,nan,nan,nan,nan,nan,nan,45.40,0.015,replayed_run_again
3292,2018-04-05 20:28:28,2018-04-05 21:29:05,           SRC,3103.970,18861,10.6000,LD2,2.014102,2.1940,-54.990,8.5342,12.194,>5.00,48.997,152.086,-1,-1,-1,-1,1,138.074,50.186,32.715,-0.003,0.003,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.933,0.956,0.958,nan,nan,nan,nan,nan,nan,47.40,0.015,replayed_again
3293,2018-04-05 21:29:45,2018-04-05 22:33:02,           SRC,2861.810,17551,10.6000,LD2,2.014102,2.1940,-54.990,8.5342,12.194,>5.00,46.763,133.826,-1,-1,-1,-1,1,126.829,48.027,31.311,-0.003,0.002,0.002,0.001,0.001,0.000,0.002,nan,nan,nan,nan,0.934,0.957,0.975,nan,nan,nan,nan,nan,nan,31.00,0.011,good_run
3294,2018-04-05 22:33:42,2018-04-05 23:33:18,           SRC,3002.120,17690,10.6000,LD2,2.014102,2.1940,-54.990,8.5342,12.194,>5.00,48.961,146.985,-1,-1,-1,-1,1,133.259,50.364,32.829,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.932,0.956,0.964,nan,nan,nan,nan,nan,nan,41.00,0.014,hellow_world
3295,2018-04-05 23:33:58,2018-04-06 00:50:40,           SRC,3528.311,22103,10.6000,LD2,2.014102,2.1940,-54.990,8.5342,12.194,>5.00,49.911,176.102,-1,-1,-1,-1,1,135.910,51.269,33.472,-0.003,0.002,0.003,0.001,0.001,0.000,0.003,nan,nan,nan,nan,0.935,0.957,0.962,nan,nan,nan,nan,nan,nan,64.00,0.018,
3296,2018-04-06 00:51:21,2018-04-06 01:52:07,           SRC,2668.621,18833,10.6000,LD2,2.014102,2.1940,-54.990,8.5342,12.194,>5.00,54.612,145.738,-1,-1,-1,-1,1,156.665,56.355,36.577,-0.003,0.003,0.003,0.002,0.001,0.000,0.003,nan,nan,nan,nan,0.922,0.944,0.955,nan,nan,nan,nan,nan,nan,44.00,0.016,good
